slug,n,amazon,hulu,crankin,wowow,tsutaya,abema
tengoku-no-supu,438,1,1,1,1,1,1
hard-romantic-er-2011,440,1,1,1,1,1,1
lovecraft-girl,441,1,1,1,1,1,1
terror-of-house,442,1,1,1,1,1,1
inu-ga-shima,443,1,1,1,1,1,1
slapstick-brothers-2011,444,1,1,1,1,1,1
where-i-belong-2016,446,1,1,1,1,1,1
miracle-apples-2013,477,1,1,1,1,1,1
chinese-zodiac-2012,482,1,1,1,1,1,1
be-bop-highschool-1994,486,1,1,1,1,1,1
tori-girl-2017,487,1,1,1,1,1,1
say-hello-for-me-2007,488,1,1,1,1,1,1
piece-of-cake-2015,493,1,1,1,1,1,1
onna-kudoki-meshi,494,1,1,1,1,1,1
rough-2006,496,1,1,1,1,1,1
50-first-dates-2004,499,1,1,1,1,1,1
tornado-girl-2017,500,1,1,1,1,1,1
every-day-2016,516,1,1,1,1,1,1
happy-flight-2008,519,1,1,1,1,1,1
hercules-2014,521,1,1,1,1,1,1
the-two-faces-of-january-2014,522,1,1,1,1,1,1
uranya-2006,523,1,1,1,1,1,1
a-star-is-born-2018,526,1,1,1,1,1,1
same-kind-of-different-as-me-2017,539,1,1,1,1,1,1
a-arano-kohen,543,1,1,1,1,1,1
i-have-to-buy-new-shoes-2012,545,1,1,1,1,1,1
kori-hate,546,1,1,1,1,1,1
wara-no-tate,548,1,1,1,1,1,1
kabocha-to-mayoezu-2017,551,1,1,1,1,1,1
the-book-peddler-2016,554,1,1,1,1,1,1
inuyashiki-2018,556,1,1,1,1,1,1
the-bastard-and-the-beautiful-world-2018,557,1,1,1,1,1,1
dragon-blade-2015,558,1,1,1,1,1,1
saki-saki,560,1,1,1,1,1,1
mad-max-fury-road-2015,563,1,1,1,1,1,1
otakus-in-love-2004,564,1,1,1,1,1,1
knight-and-day-2010,569,1,1,1,1,1,1
the-woodsman-and-the-rain-2011,571,1,1,1,1,1,1
chichi-o-bijinesu-ni-shi-ta-otoko,576,1,1,1,1,1,1
hentai-da,579,1,1,1,1,1,1
